id,title,subTitle,url,image,price_sale,price_original,gender,age_group
B75806,Samba OG Shoes,Originals,https://www.adidas.com.ph/en/samba-og-shoes/B75806.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/9b983d5bc09a4d4aba39a8bf011869ba_9366/samba-og-shoes.jpg",6800,6800,['male'],adult
JH6484,Harden Volume 9 Shoes,Basketball,https://www.adidas.com.ph/en/harden-volume-9-shoes/JH6484.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/5d4b881d697045eeaec79dcd1db64368_9366/harden-volume-9-shoes.jpg",9500,9500,['male'],adult
JR6368,Adizero Adios Pro 4 Shoes,Men Running,https://www.adidas.com.ph/en/adizero-adios-pro-4-shoes/JR6368.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/c1779c14498c4575aaae3c85d130462c_9366/adizero-adios-pro-4-shoes.jpg",13000,13000,['male'],adult
JR6370,Adizero Adios Pro 4 Shoes,Men Running,https://www.adidas.com.ph/en/adizero-adios-pro-4-shoes/JR6370.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/510c63997d7f4a8c946c5a897e27dfe7_9366/adizero-adios-pro-4-shoes.jpg",13000,13000,['male'],adult
JI2677,Samba OG Shoes,Originals,https://www.adidas.com.ph/en/samba-og-shoes/JI2677.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/56e244b423ec41eb8a6a2e9c705bcd4f_9366/samba-og-shoes.jpg",6800,6800,['male'],adult
IH8659,Superstar II Shoes,Originals,https://www.adidas.com.ph/en/superstar-ii-shoes/IH8659.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/4f8937ad7ea843cf98a83415e1124613_9366/superstar-ii-shoes.jpg",5500,5500,['male'],adult
JQ6135,Anthony Edwards 1 Low Trainers,Basketball,https://www.adidas.com.ph/en/anthony-edwards-1-low-trainers/JQ6135.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/747e570e5d744279a305d5bdc9a294f8_9366/anthony-edwards-1-low-trainers.jpg",8000,8000,['male'],adult
JI1408,Supernova Rise 2 Running Shoes,Men Running,https://www.adidas.com.ph/en/supernova-rise-2-running-shoes/JI1408.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/285b687deea24a47b042b0b666591ee5_9366/supernova-rise-2-running-shoes.jpg",7500,7500,['male'],adult
JI4494,Adizero Select 3.0 Shoes,Basketball,https://www.adidas.com.ph/en/adizero-select-3.0-shoes/JI4494.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/acded1e0a2d741fa93e5f4157d6f28b9_9366/adizero-select-3.0-shoes.jpg",5000,5000,['male'],adult
JR2511,Adizero Select 3.0 Shoes,Basketball,https://www.adidas.com.ph/en/adizero-select-3.0-shoes/JR2511.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/d872f7053fc642a386c5f9d58a53a33b_9366/adizero-select-3.0-shoes.jpg",5000,5000,['male'],adult
JI3445,Jabbar Hi Shoes,Originals,https://www.adidas.com.ph/en/jabbar-hi-shoes/JI3445.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/27c3e80489f04cc69eda4327a7cf13aa_9366/jabbar-hi-shoes.jpg",6500,6500,['male'],adult
JI3204,Samba OG Shoes,Originals,https://www.adidas.com.ph/en/samba-og-shoes/JI3204.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/e8e0951f822e4cac8eee0b17d0294979_9366/samba-og-shoes.jpg",6800,6800,['male'],adult
JI2651,Handball Spezial Shoes,Originals,https://www.adidas.com.ph/en/handball-spezial-shoes/JI2651.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/16940fab1e2e4a19962a6d9624c2de72_9366/handball-spezial-shoes.jpg",5800,5800,['male'],adult
JR2701,SSTR V Bape Shoes,Originals,https://www.adidas.com.ph/en/sstr-v-bape-shoes/JR2701.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/b10dff01ce134f03821f846119d6a501_9366/sstr-v-bape-shoes.jpg",8000,8000,['male'],adult
JR2508,Dame 9,Basketball,https://www.adidas.com.ph/en/dame-9/JR2508.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/b8b659df07b34772a6489eacdcb3ff64_9366/dame-9.jpg",7500,7500,['male'],adult
JI3206,Samba OG Shoes,Originals,https://www.adidas.com.ph/en/samba-og-shoes/JI3206.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/31adb0e2e5dc41c4a173f102772f6996_9366/samba-og-shoes.jpg",6800,6800,['male'],adult
JS1181,Adizero Sl2 Running Shoes,Men Running,https://www.adidas.com.ph/en/adizero-sl2-running-shoes/JS1181.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/b8795fabb81c4cf4acf7f3fc31e1d389_9366/adizero-sl2-running-shoes.jpg",6500,6500,['male'],adult
IE1290,F50 League Firm/Multi-Ground Boots,Football,https://www.adidas.com.ph/en/f50-league-firm-multi-ground-boots/IE1290.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/d76d0c0166404658840851055dac0f50_9366/f50-league-firm-multi-ground-boots.jpg",4700,4700,['male'],adult
JI3076,SUPERSTAR II,Originals,https://www.adidas.com.ph/en/superstar-ii/JI3076.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/13475d78db184168b90b15186b6cad63_9366/superstar-ii.jpg",6800,6800,['male'],adult
JI3496,Subzone Shoes,Sportswear,https://www.adidas.com.ph/en/subzone-shoes/JI3496.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/c94662f8af204205b8b9566a1e3cac87_9366/subzone-shoes.jpg",3400,3400,['male'],adult
JI3498,Subzone Shoes,Sportswear,https://www.adidas.com.ph/en/subzone-shoes/JI3498.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/cf242614db294dc6b1b83a66a65d243d_9366/subzone-shoes.jpg",3400,3400,['male'],adult
JH5445,Handball Spezial Shoes,Originals,https://www.adidas.com.ph/en/handball-spezial-shoes/JH5445.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/534d5843e25e42beadd3ec197d33066f_9366/handball-spezial-shoes.jpg",5800,5800,['male'],adult
JH5469,Superstar II Shoes,Originals,https://www.adidas.com.ph/en/superstar-ii-shoes/JH5469.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/5a9a530a000a477e9c09d357f65ab207_9366/superstar-ii-shoes.jpg",6800,6800,['male'],adult
IH8706,Supernova Rise 2 Running Shoes,Men Running,https://www.adidas.com.ph/en/supernova-rise-2-running-shoes/IH8706.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/c45da4d3bd924113bc2ed713a3b793b9_9366/supernova-rise-2-running-shoes.jpg",7500,7500,['male'],adult
IH8708,Supernova Rise 2 Running Shoes,Men Running,https://www.adidas.com.ph/en/supernova-rise-2-running-shoes/IH8708.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/d66c6346f6c848a5b1878880b0e73b97_9366/supernova-rise-2-running-shoes.jpg",7500,7500,['male'],adult
JI0145,SUPERSTAR II,Originals,https://www.adidas.com.ph/en/superstar-ii/JI0145.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/59731e2817404f9f82d3d951d50ddaa6_9366/superstar-ii.jpg",6800,6800,['male'],adult
JQ2404,Pampanga SPZL Shoes,Men Originals,https://www.adidas.com.ph/en/pampanga-spzl-shoes/JQ2404.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/bf59b7077db74d03a648c99d8fb53e14_9366/pampanga-spzl-shoes.jpg",7000,7000,['male'],adult
JH7834,BW Army Shoes,Originals,https://www.adidas.com.ph/en/bw-army-shoes/JH7834.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/0e7a2fac83c04b74a5f76ab3af534031_9366/bw-army-shoes.jpg",7500,7500,['male'],adult
ID9050,Copa Pure 3 League Firm/Multi-Ground Boots,Football,https://www.adidas.com.ph/en/copa-pure-3-league-firm-multi-ground-boots/ID9050.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/406f399fd88c4f17a31416fd7cfa9172_9366/copa-pure-3-league-firm-multi-ground-boots.jpg",4300,4300,['male'],adult
JI1546,Dame Certified 3 Shoes,Basketball,https://www.adidas.com.ph/en/dame-certified-3-shoes/JI1546.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/794d184e592f46b9a6aa66b9e068ba29_9366/dame-certified-3-shoes.jpg",5300,5300,['male'],adult
JR2702,SSTR V Bape Shoes,Originals,https://www.adidas.com.ph/en/sstr-v-bape-shoes/JR2702.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/5b7e9066828845b7b69065529b413573_9366/sstr-v-bape-shoes.jpg",8000,8000,['male'],adult
JI3205,Samba OG Shoes,Originals,https://www.adidas.com.ph/en/samba-og-shoes/JI3205.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/759be5f16ac54b538df84513385254d2_9366/samba-og-shoes.jpg",6800,6800,['male'],adult
ID1320,Predator League Fold-Over Tongue Firm/Multi-Ground Boots,Football,https://www.adidas.com.ph/en/predator-league-fold-over-tongue-firm-multi-ground-boots/ID1320.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/40af024fa5eb47c5a3721b4eeb05dd07_9366/predator-league-fold-over-tongue-firm-multi-ground-boots.jpg",5300,5300,['male'],adult
JI3199,Samba LT Shoes,Originals,https://www.adidas.com.ph/en/samba-lt-shoes/JI3199.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/7e29ea9116234caaab975d73a26158cc_9366/samba-lt-shoes.jpg",7300,7300,['male'],adult
JI0339,Crazy 8 Low Shoes,Originals,https://www.adidas.com.ph/en/crazy-8-low-shoes/JI0339.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/83dad40e88404eef9940a837072796ba_9366/crazy-8-low-shoes.jpg",9000,9000,['male'],adult
IH0795,Supernova Ease Shoes,Men Running,https://www.adidas.com.ph/en/supernova-ease-shoes/IH0795.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/0b6fad64e86f4b6c91fedda647184fec_9366/supernova-ease-shoes.jpg",5500,5500,['male'],adult
IH8221,Duramo SL 2 Running Shoes,Men Running,https://www.adidas.com.ph/en/duramo-sl-2-running-shoes/IH8221.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/906100ee37894147ad87f69743edc82a_9366/duramo-sl-2-running-shoes.jpg",3800,3800,['male'],adult
JI0366,Break Start Premium Low Shoes,Sportswear,https://www.adidas.com.ph/en/break-start-premium-low-shoes/JI0366.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/b0ec3c36f65440f3b063765eb6129826_9366/break-start-premium-low-shoes.jpg",4700,4700,['male'],adult
IH2344,Adizero Select 3.0 Shoes,Basketball,https://www.adidas.com.ph/en/adizero-select-3.0-shoes/IH2344.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/6b932ce3851245dd9f57ba81bb4735e0_9366/adizero-select-3.0-shoes.jpg",5000,5000,['male'],adult
JI3203,Samba OG Shoes,Originals,https://www.adidas.com.ph/en/samba-og-shoes/JI3203.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/f87ac887bef047139adc32bbe6e2544c_9366/samba-og-shoes.jpg",6800,6800,['male'],adult
JS0748,SL 72 RS Shoes,Men Originals,https://www.adidas.com.ph/en/sl-72-rs-shoes/JS0748.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/f974d5d1680f4ef4922018c5dd1bb13a_9366/sl-72-rs-shoes.jpg",6000,6000,['male'],adult
JI3200,Samba LT Shoes,Originals,https://www.adidas.com.ph/en/samba-lt-shoes/JI3200.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/24ea0e201912419483b45ecf6eb806a7_9366/samba-lt-shoes.jpg",7300,7300,['male'],adult
JQ0718,Ultraboost 1.0 Fortnite Shoes,Sportswear,https://www.adidas.com.ph/en/ultraboost-1.0-fortnite-shoes/JQ0718.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/b19342e377474febaace40a82f83efd3_9366/ultraboost-1.0-fortnite-shoes.jpg",10000,10000,['male'],adult
JH5406,Gazelle Indoor Shoes,Originals,https://www.adidas.com.ph/en/gazelle-indoor-shoes/JH5406.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/51ae490d281f466c810a8d2fdb660df4_9366/gazelle-indoor-shoes.jpg",7300,7300,['male'],adult
JH6442,Pureboost 5 Running Shoes,Men Running,https://www.adidas.com.ph/en/pureboost-5-running-shoes/JH6442.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/b63c94d6b6e246b9b301143fd0c4aae3_9366/pureboost-5-running-shoes.jpg",7000,7000,['male'],adult
JQ7461,Adilette Lumia Slides,Sportswear,https://www.adidas.com.ph/en/adilette-lumia-slides/JQ7461.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/ef8e67dbc21b407aac15e14ae022b58e_9366/adilette-lumia-slides.jpg",1700,1700,['male'],adult
JQ7460,Adilette Lumia Slides,Sportswear,https://www.adidas.com.ph/en/adilette-lumia-slides/JQ7460.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/a106a5a964f04eebaaba1e491a9f97ec_9366/adilette-lumia-slides.jpg",1700,1700,['male'],adult
JH6151,Samba Spikeless Golf Shoes,Originals,https://www.adidas.com.ph/en/samba-spikeless-golf-shoes/JH6151.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/f77c407b06434838ba39f2d103302a66_9366/samba-spikeless-golf-shoes.jpg",8500,8500,['male'],adult
IH6159,Adilette 25 Slides,Originals,https://www.adidas.com.ph/en/adilette-25-slides/IH6159.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/20eda50063dc425ebfef5b8bf46c9b4f_9366/adilette-25-slides.jpg",4700,4700,['male'],adult
JH8018,Adifom Iiinfinity Slides,Originals,https://www.adidas.com.ph/en/adifom-iiinfinity-slides/JH8018.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/8813873a06ce47e89030ae166c3cb479_9366/adifom-iiinfinity-slides.jpg",3000,3000,['male'],adult
JH5658,Handball Spezial Shoes,Originals,https://www.adidas.com.ph/en/handball-spezial-shoes/JH5658.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/adf63974509248069e6a259b55775ef7_9366/handball-spezial-shoes.jpg",5800,5800,['male'],adult
JH5518,Adilette 25 Slides,Originals,https://www.adidas.com.ph/en/adilette-25-slides/JH5518.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/ac015b94ab7e43a0be25852de21e794e_9366/adilette-25-slides.jpg",4700,4700,['male'],adult
ID1330,Predator League Firm/Multi-Ground Boots,Football,https://www.adidas.com.ph/en/predator-league-firm-multi-ground-boots/ID1330.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/ab3f322e9d194cb3bd2e90ec6cfa2c95_9366/predator-league-firm-multi-ground-boots.jpg",5000,5000,['male'],adult
