id,title,subTitle,url,image,price_sale,price_original,gender,age_group,colordescription,out_of_stock,best_seller
HM6803-103,Nike Vomero 18,Men's Road Running Shoes,https://www.nike.com/ph/t/vomero-18-road-running-shoes-snsbkH/HM6803-103,https://static.nike.com/a/images/t_default/1983f2e1-0271-479c-bada-6176a571fa4f/NIKE+VOMERO+18.png,8395.0,8395.0,['male'],adult,Summit White/Dusty Cactus/Geode Teal/Black,False,True
HM6803-100,Nike Vomero 18,Men's Road Running Shoes,https://www.nike.com/ph/t/vomero-18-road-running-shoes-snsbkH/HM6803-100,https://static.nike.com/a/images/t_default/4ae3c0d4-1573-4842-9b01-5589cb11f359/NIKE+VOMERO+18.png,8395.0,8395.0,['male'],adult,White/Electric Green/Volt/Black,False,True
HM6803-101,Nike Vomero 18,Men's Road Running Shoes,https://www.nike.com/ph/t/vomero-18-road-running-shoes-snsbkH/HM6803-101,https://static.nike.com/a/images/t_default/3a1a6fce-e35c-4a32-893c-9704f2868423/NIKE+VOMERO+18.png,8395.0,8395.0,['male'],adult,Summit White/Coconut Milk/Coconut Milk/Black,False,True
HQ4681-010,Nike Air Max Dn8,Men's Shoes,https://www.nike.com/ph/t/air-max-dn8-shoes-gSlkSq/HQ4681-010,https://static.nike.com/a/images/t_default/3966977d-1d2e-4d9d-844d-e5b3f1bee59b/AIR+MAX+DN8+AMD.png,10895.0,10895.0,['male'],adult,Black/Green Strike/Volt/Black,False,True
FQ7860-008,Nike Air Max Dn8,Men's Shoes,https://www.nike.com/ph/t/air-max-dn8-shoes-5hKVxC/FQ7860-008,https://static.nike.com/a/images/t_default/b4cdd269-25d6-4fdd-aaaf-a13b65a76c71/AIR+MAX+DN8.png,10895.0,10895.0,['male'],adult,Black/Gym Red/Bright Crimson/Black,True,True
FQ7860-002,Nike Air Max Dn8,Men's Shoes,https://www.nike.com/ph/t/air-max-dn8-shoes-5hKVxC/FQ7860-002,https://static.nike.com/a/images/t_default/60c3b920-6f7b-4797-a05e-7147f1a6cdb3/AIR+MAX+DN8.png,10895.0,10895.0,['male'],adult,Black/Black/Anthracite/Anthracite,False,True
FQ7860-300,Nike Air Max Dn8,Men's Shoes,https://www.nike.com/ph/t/air-max-dn8-shoes-5hKVxC/FQ7860-300,https://static.nike.com/a/images/t_default/23a56693-b7f4-4d1d-8604-8da2e4a90879/AIR+MAX+DN8.png,10895.0,10895.0,['male'],adult,Cargo Khaki/Cargo Khaki/Black/Oil Green,False,True
FQ7860-003,Nike Air Max Dn8,Men's Shoes,https://www.nike.com/ph/t/air-max-dn8-shoes-5hKVxC/FQ7860-003,https://static.nike.com/a/images/t_default/96940ccb-de70-414b-b0a7-199ef4ab760f/AIR+MAX+DN8.png,10895.0,10895.0,['male'],adult,Black/Light Smoke Grey/Black/Volt,False,True
FQ7860-006,Nike Air Max Dn8,Men's Shoes,https://www.nike.com/ph/t/air-max-dn8-shoes-5hKVxC/FQ7860-006,https://static.nike.com/a/images/t_default/b37d30bf-5a0b-4e33-abc6-b93829de390b/AIR+MAX+DN8.png,10895.0,10895.0,['male'],adult,Phantom/Phantom/Black/Black,False,True
FQ7860-009,Nike Air Max Dn8,Men's Shoes,https://www.nike.com/ph/t/air-max-dn8-shoes-5hKVxC/FQ7860-009,https://static.nike.com/a/images/t_default/df641e74-858a-4b8e-bb04-dbf7efc8ccff/AIR+MAX+DN8.png,10895.0,10895.0,['male'],adult,Black/Indigo Burst/Total Orange/Fierce Purple,False,False
FQ7860-001,Nike Air Max Dn8,Men's Shoes,https://www.nike.com/ph/t/air-max-dn8-shoes-5hKVxC/FQ7860-001,https://static.nike.com/a/images/t_default/a4e06622-576f-4b92-a3d9-fa94886bafda/AIR+MAX+DN8.png,10895.0,10895.0,['male'],adult,Black/Hyper Royal/University Blue/Black,False,True
FQ7860-800,Nike Air Max Dn8,Men's Shoes,https://www.nike.com/ph/t/air-max-dn8-shoes-5hKVxC/FQ7860-800,https://static.nike.com/a/images/t_default/5e14698f-749f-46ad-9ead-845e77c6eab2/AIR+MAX+DN8.png,10895.0,10895.0,['male'],adult,Team Orange/Laser Orange/Black/Black,False,True
FD6454-001,Nike Downshifter 13,Men's Road Running Shoes,https://www.nike.com/ph/t/downshifter-13-road-running-shoes-4Gw85J/FD6454-001,https://static.nike.com/a/images/t_default/2dd3e503-dc3c-4ebc-b1ef-4782b16e0bff/NIKE+DOWNSHIFTER+13.png,3295.0,3295.0,['male'],adult,Black/Dark Smoke Grey/White,False,False
HJ4497-300,Nike V2K Run,Men's Shoes,https://www.nike.com/ph/t/v2k-run-shoes-4P7Wl1/HJ4497-300,https://static.nike.com/a/images/t_default/fb2e4b9b-bdc4-4d18-acd8-ad34bd657555/NIKE+V2K+RUN.png,6895.0,6895.0,['male'],adult,Vintage Green/Mineral Spruce/Wolf Grey/Vintage Green,False,True
HF8022-300,Nike SB Dunk Low Pro,Skate Shoes,https://www.nike.com/ph/launch/r/HF8022-300,https://static.nike.com/a/images/t_default/d0d0d618-033f-4d5b-8580-d12268aceb9f/NIKE+SB+DUNK+LOW+PRO.png,7595.0,7595.0,['male'],adult,Asparagus/Light Khaki/Dark Loden/Legion Green,False,False
HF7812-400,Nike Air Max Ishod,Skate Shoes,https://www.nike.com/ph/t/air-max-ishod-skate-shoes-dZTmHJ/HF7812-400,https://static.nike.com/a/images/t_default/56cd5848-404a-4ccb-bda8-66b499585fa0/NIKE+AIR+MAX+ISHOD.png,6295.0,6295.0,['male'],adult,Denim Turquoise/Denim Turquoise/Black/Black,False,False
HF4292-200,Nike Dunk Low,Men's Shoes,https://www.nike.com/ph/t/dunk-low-shoes-9cR8rj/HF4292-200,https://static.nike.com/a/images/t_default/338d0737-bd55-4b33-86f4-e2f92a11d3c8/NIKE+DUNK+LOW+NN.png,6895.0,6895.0,['male'],adult,Baroque Brown/White/Sail/Black,False,False
FJ4151-003,Nike Zoom Vomero 5,Men's Shoes,https://www.nike.com/ph/t/zoom-vomero-5-shoes-8m9brL/FJ4151-003,https://static.nike.com/a/images/t_default/bf7dee49-3c31-42ab-8f49-fd394d99539f/NIKE+ZOOM+VOMERO+5.png,8895.0,8895.0,['male'],adult,Wolf Grey/Metallic Silver/Cool Grey/White,False,True
DH2987-100,Nike Court Vision Low Next Nature,Men's Shoes,https://www.nike.com/ph/t/court-vision-low-next-nature-shoes-N2fFHb/DH2987-100,https://static.nike.com/a/images/t_default/0084df47-cf15-41d5-aab6-984460364e41/NIKE+COURT+VISION+LO+NN.png,3495.0,3495.0,['male'],adult,White/White/White,False,False
FZ0627-010,Nike Air Force 1 '07,Men's Shoes,https://www.nike.com/ph/t/air-force-1-07-shoes-CMNWtG/FZ0627-010,https://static.nike.com/a/images/t_default/416e1d81-a6ed-4401-93d1-e5e26ea37a8d/AIR+FORCE+1+%2707.png,6195.0,6195.0,['male'],adult,Black/Black/White,False,False
HF1078-403,Nike Free 2025,Men's Workout Shoes,https://www.nike.com/ph/t/free-2025-workout-shoes-xcv4w3/HF1078-403,https://static.nike.com/a/images/t_default/3a421685-490c-4004-9cb2-ef2a07c1c366/NIKE+FREE+2025.png,5795.0,5795.0,['male'],adult,Diffused Blue/Ashen Slate/Summit White/Thunder Blue,False,False
